:START_ID,:END_ID,relation,:TYPE
12289,20026,类型属于,类型属于
12795,20037,类型属于,类型属于
10957,20001,类型属于,类型属于
12451,20001,类型属于,类型属于
10638,20010,类型属于,类型属于
11214,20017,类型属于,类型属于
11495,20026,类型属于,类型属于
10670,20017,类型属于,类型属于
12934,20002,类型属于,类型属于
10639,20009,类型属于,类型属于
10698,20017,类型属于,类型属于
10544,20001,类型属于,类型属于
10268,20009,类型属于,类型属于
10119,20031,类型属于,类型属于
12829,20018,类型属于,类型属于
11106,20031,类型属于,类型属于
12651,20002,类型属于,类型属于
10539,20009,类型属于,类型属于
11167,20017,类型属于,类型属于
11523,20034,类型属于,类型属于
10242,20010,类型属于,类型属于
10156,20020,类型属于,类型属于
11856,20026,类型属于,类型属于
13028,20031,类型属于,类型属于
12621,20016,类型属于,类型属于
12135,20019,类型属于,类型属于
10116,20006,类型属于,类型属于
12559,20003,类型属于,类型属于
10839,20026,类型属于,类型属于
11465,20032,类型属于,类型属于
10270,20010,类型属于,类型属于
10352,20013,类型属于,类型属于
12744,20017,类型属于,类型属于
10405,20007,类型属于,类型属于
12961,20026,类型属于,类型属于
11594,20003,类型属于,类型属于
10719,20002,类型属于,类型属于
10431,20006,类型属于,类型属于
12377,20026,类型属于,类型属于
12999,20013,类型属于,类型属于
11006,20006,类型属于,类型属于
11701,20012,类型属于,类型属于
11269,20006,类型属于,类型属于
10478,20006,类型属于,类型属于
12011,20013,类型属于,类型属于
12199,20001,类型属于,类型属于
10277,20013,类型属于,类型属于
10902,20001,类型属于,类型属于
11461,20012,类型属于,类型属于
10560,20004,类型属于,类型属于
11193,20026,类型属于,类型属于
11893,20034,类型属于,类型属于
11246,20006,类型属于,类型属于
11625,20006,类型属于,类型属于
11883,20013,类型属于,类型属于
11123,20007,类型属于,类型属于
11131,20016,类型属于,类型属于
10031,20030,类型属于,类型属于
10631,20026,类型属于,类型属于
12838,20003,类型属于,类型属于
12517,20027,类型属于,类型属于
10388,20017,类型属于,类型属于
11783,20026,类型属于,类型属于
12815,20002,类型属于,类型属于
10402,20003,类型属于,类型属于
10571,20035,类型属于,类型属于
11591,20018,类型属于,类型属于
10021,20011,类型属于,类型属于
10195,20028,类型属于,类型属于
12224,20028,类型属于,类型属于
12490,20017,类型属于,类型属于
10280,20001,类型属于,类型属于
11796,20003,类型属于,类型属于
11339,20024,类型属于,类型属于
10040,20017,类型属于,类型属于
10722,20018,类型属于,类型属于
11297,20013,类型属于,类型属于
12285,20001,类型属于,类型属于
10231,20019,类型属于,类型属于
11803,20006,类型属于,类型属于
12879,20017,类型属于,类型属于
11951,20014,类型属于,类型属于
10148,20013,类型属于,类型属于
10882,20015,类型属于,类型属于
10435,20001,类型属于,类型属于
12112,20022,类型属于,类型属于
11096,20001,类型属于,类型属于
11042,20021,类型属于,类型属于
12809,20013,类型属于,类型属于
10665,20003,类型属于,类型属于
12456,20002,类型属于,类型属于
12387,20011,类型属于,类型属于
10655,20026,类型属于,类型属于
12953,20001,类型属于,类型属于
10766,20001,类型属于,类型属于
12127,20006,类型属于,类型属于
10133,20026,类型属于,类型属于
11799,20019,类型属于,类型属于
12805,20014,类型属于,类型属于
10384,20027,类型属于,类型属于
11082,20034,类型属于,类型属于
10056,20003,类型属于,类型属于
10326,20003,类型属于,类型属于
11487,20013,类型属于,类型属于
10236,20031,类型属于,类型属于
12257,20019,类型属于,类型属于
12331,20006,类型属于,类型属于
12426,20013,类型属于,类型属于
11181,20037,类型属于,类型属于
11095,20029,类型属于,类型属于
11785,20013,类型属于,类型属于
12565,20013,类型属于,类型属于
10053,20026,类型属于,类型属于
10831,20007,类型属于,类型属于
11938,20034,类型属于,类型属于
11245,20019,类型属于,类型属于
10523,20007,类型属于,类型属于
12354,20013,类型属于,类型属于
10375,20014,类型属于,类型属于
12254,20002,类型属于,类型属于
12730,20028,类型属于,类型属于
10099,20014,类型属于,类型属于
12164,20017,类型属于,类型属于
10338,20013,类型属于,类型属于
11575,20013,类型属于,类型属于
11112,20003,类型属于,类型属于
12923,20031,类型属于,类型属于
11293,20004,类型属于,类型属于
10156,20003,类型属于,类型属于
10112,20013,类型属于,类型属于
10862,20021,类型属于,类型属于
10616,20026,类型属于,类型属于
12278,20026,类型属于,类型属于
10948,20006,类型属于,类型属于
12498,20040,类型属于,类型属于
10288,20012,类型属于,类型属于
10101,20006,类型属于,类型属于
11647,20017,类型属于,类型属于
10398,20031,类型属于,类型属于
10513,20003,类型属于,类型属于
10524,20002,类型属于,类型属于
12926,20013,类型属于,类型属于
11316,20001,类型属于,类型属于
11158,20017,类型属于,类型属于
10348,20005,类型属于,类型属于
10847,20017,类型属于,类型属于
11837,20028,类型属于,类型属于
11080,20002,类型属于,类型属于
10251,20026,类型属于,类型属于
10720,20019,类型属于,类型属于
