index:ID,media_id,name,num_of_play,num_of_subscribe,num_of_danmu,starting_time,score,num_of_scoring_peopel,status,:LABEL
10056,324,我，要成为双马尾。,1800.1万,48.8万,104.5万,2014年10月9日,8.7,1102人评,已完结,Anime
10057,3346,虫之歌,84.6万,12.8万,2.6万,2007年7月5日,9,152人评,已完结,Anime
10058,959,Angel Beats!,186.7万,108.6万,10.3万,2010年4月2日,9.6,7230人评,已完结,Anime
10059,893,白兔糖,96.1万,27万,4万,2011年7月7日,9.7,1189人评,已完结,Anime
10060,6452,Infini-T Force,155万,12.6万,2.4万,2017年10月4日,9.2,941人评,已完结,Anime
10061,628,Q弟侦探因幡,154万,16.8万,4万,2013年1月4日,9.6,352人评,已完结,Anime
10062,5532,少女编号,817.1万,53.6万,32.2万,2016年10月6日,8.7,1302人评,已完结,Anime
10063,1177,CLANNAD,82.8万,115.7万,3.8万,2007年10月4日,9.8,10684人评,已完结,Anime
10064,1376,家庭教师HITMAN REBORN!,192.7万,58.4万,12.1万,2006年10月7日,9.8,6146人评,已完结,Anime
10065,4400,弹丸论破,582.6万,45.2万,32.7万,2013年7月4日,8.8,1491人评,已完结,Anime
10066,5043,这个美术社大有问题！,1789.6万,85.1万,89.5万,2016年7月8日,9.4,2581人评,已完结,Anime
10067,2890,少女与战车,171.3万,23.2万,13.8万,2012年10月8日,9.7,2075人评,已完结,Anime
10068,12572,續 刀劍亂舞 -花丸-（僅限港澳台地區）,43.2万,17.6万,2.3万,2018年1月8日,9.5,813人评,已完结,Anime
10069,1375,KANON / 雪之少女（京都版）,8万,13万,6304,2006年10月5日,9.5,760人评,已完结,Anime
10070,4382,當不成勇者的我，只好認真找工作（僅限港澳台地區）,3.3万,21.8万,1828,2013年10月4日,8.7,397人评,已完结,Anime
10071,2809,凉宫春日的消失,86.5万,11.2万,7.1万,2010年2月6日,9.7,2153人评,已完结,Anime
10072,1509,偶像大师 灰姑娘女孩,476.8万,22.3万,19.3万,2015年1月9日,9.4,390人评,已完结,Anime
10073,6007,机动战士高达 雷霆宙域战线 第二季,199.5万,12万,3.4万,2017年3月24日,9.3,341人评,已完结,Anime
10074,656,初音岛,4.4万,18.6万,1318,2003年7月5日,9.4,203人评,已完结,Anime
10075,697,这个是僵尸吗？,269.9万,77万,12万,2011年1月10日,9.3,1719人评,已完结,Anime
10076,863,[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,219万,32.3万,4.6万,2011年4月14日,9.3,833人评,已完结,Anime
10077,5979,阿童木起源,221.8万,14.1万,4.5万,2017年4月16日,8.9,168人评,已完结,Anime
10078,5992,樱花任务,861.3万,65万,37.2万,2017年4月6日,9.1,2454人评,已完结,Anime
10079,6339,欢迎来到实力至上主义的教室,9140.4万,411万,310.7万,2017年7月13日,8.4,28731人评,已完结,Anime
10080,3420,野良神 ARAGOTO OAD,566.9万,13.6万,23.3万,2015年11月17日,9.7,744人评,已完结,Anime
10081,1540,我的青春恋爱物语果然有问题。 续,4179.6万,89.8万,156.3万,2015年4月2日,9.7,8026人评,已完结,Anime
10082,106512,灰与幻想的格林姆迦尔 ,191.1万,25.3万,8.5万,2016年1月10日,9.8,5984人评,已完结,Anime
10083,964,魔法禁书目录 第二季,1505.4万,71.7万,127.5万,2010年10月8日,8.9,2631人评,已完结,Anime
10084,5798,One Room,1336.6万,80.2万,31.4万,2017年1月11日,9.4,1865人评,已完结,Anime
10085,2910,真实之泪,180.9万,26.1万,15.2万,2008年1月5日,9.2,1148人评,已完结,Anime
10086,877,全职猎人,907.5万,33.9万,51.6万,1999年10月16日,9.8,1962人评,已完结,Anime
10087,6423,品酒要在成为夫妻后,1901.6万,96.8万,15万,2017年10月4日,9.3,7149人评,已完结,Anime
10088,572,KARNEVAL狂欢节,148万,19.2万,9.6万,2013年4月3日,9.5,363人评,已完结,Anime
